,,Baseline air,Baseline air,Baseline air,Radiative forcing,Radiative forcing,,
Gas,Formula,Mole fraction,Uncertainty,Growth (% yr^{-1}),Efficiency (W m^{-2} ppb^{-1}),GWP-100,Series,Status
Carbon dioxide,CO_{2},4.193e-4,2.1e-7,0.55,1.37e-5,1,`CGO-01`,final
Carbon-13 dioxide,^{13}CO_{2},4.65e-6,2.3e-9,0.52,,,`CGO-04`,final
Methane,CH_{4},1.923e-6,4.0e-9,0.62,3.63e-4,27,`CGO-02`,final
Nitrous oxide,N_{2}O,3.36e-7,8.0e-10,0.29,3.00e-3,273,`CGO-03`,final
Sulfur hexafluoride,SF_{6},1.16e-11,3.0e-14,4.10,0.567,25200,`CGO-11`,*provisional*
Trichlorofluoromethane<br>(CFC-11),CCl_{3}F,2.24e-10,6.0e-13,-0.84,0.259,6226,`CGO-07`,final
Dichlorodifluoromethane<br>(CFC-12),CCl_{2}F_{2},4.94e-10,9.0e-13,-0.51,0.320,10200,`CGO-08`,final
Tetrafluoromethane,CF_{4},8.60e-11,2.0e-13,1.29,0.099,7380,`CGO-14`,*provisional*
Trifluoromethane,CHF_{3},3.40e-11,1.0e-13,5.80,0.191,14600,`CGO-15`,*revised*
Ozone,O_{3},3.0e-8,4.0e-9,-0.10,,,`CGO-21`,*provisional*
Carbonyl sulfide,COS,4.80e-10,1.2e-12,0.08,3.0e-3,,`CGO-22`,final
